Hanzi,Pinyin
通知,tōngzhī
同情,tóngqíng
同时,tóngshí
推,tuī
推出,tuīchū
推迟,tuīchí
脱,tuō
袜子,wàzi
完全,wánquán
往往,wǎngwǎng
网球,wǎngqiú
网站,wǎngzhàn
危险,wēixiǎn
卫生间,wèishēngjiān
味道,wèidào
温度,wēndù
气温,qìwēn
文章,wénzhāng
污染,wūrǎn
无,wú
无聊,wúliáo
无论,wúlùn
无论如何,wúlùn rúhé
无论... + question word + 都/也/还...,wúlùn... + question word + dōu/yě/hái...
误会,wùhuì
吸引,xīyǐn
西红柿,xīhóngshì
咸,xián
现金,xiànjīn
羡慕,xiànmù
相反,xiāngfǎn
相同,xiāngtóng
香,xiāng
详细,xiángxì
响,xiǎng
橡皮,xiàngpí
消息,xiāoxi
小吃,xiǎochī
小伙子,xiǎohuǒzi
小说,xiǎoshuō
效果,xiàoguǒ
笑话,xiàohuà
心情,xīnqíng
辛苦,xīnkǔ
信封,xìnfēng
信息,xìnxī
信心,xìnxīn
有信心,yǒuxìnxīn
兴奋,xīngfèn
行,xíng
醒,xǐng
幸福,xìngfú
性别,xìngbié
性格,xìnggé
修理,xiūlǐ
细,xì
许多,xǔduō
学期,xuéqī
呀,ya
压力,yālì
牙膏,yágāo
亚洲,yàzhōu
严格,yángé
严重,yánzhòng
盐,yán
研究,yánjiū
研究生,yánjiūshēng
演出,yǎnchū
演员,yǎnyuán
眼镜,yǎnjìng
阳光,yángguāng
养,yǎng
养成,yǎngchéng
样子,yàngzi
邀请,yāoqǐng
要是,yàoshi
钥匙,yàoshi
也许,yěxǔ
叶子,yèzi
页,yè
一切,yīqiè
以,yǐ
以为,yǐwéi
意见,yìjiàn
艺术,yìshù
因此,yīncǐ
引起,yǐnqǐ
印象,yìnxiàng
赢,yíng
应聘,yìngpìn
勇敢,yǒnggǎn
永远,yǒngyuǎn
优点,yōudiǎn
优秀,yōuxiù
幽默,yōumò
尤其,yóuqí
由,yóu
由于,yóuyú
邮局,yóujú
友好,yǒuhǎo
友谊,yǒuyì
有趣,yǒuqù
有兴趣,yǒuxìngqù
于是,yúshì
愉快,yúkuài
与,yǔ
羽毛球,yǔmáoqiú
语,yǔ
语法,yǔfǎ
语言,yǔyán
预习,yùxí
原来,yuánlái
原谅,yuánliàng
原因,yuányīn
约会,yuēhuì
约,yuē
阅读,yuèdú
云,yún
允许,yǔnxǔ
杂志,zázhì
咱们,zánmen
暂时,zànshí
脏,zāng
责任,zérèn
增加,zēngjiā
增,zēng
占线,zhànxiàn
招聘,zhāopìn
照,zhào
真正,zhēnzhèng
整理,zhěnglǐ
正常,zhèngcháng
正好,zhènghǎo
正确,zhèngquè
正式,zhèngshì
证明,zhèngmíng
之,zhī
支持,zhīchí
知识,zhīshi
值得,zhíde
植物,zhíwù
直接,zhíjiē
职业,zhíyè
只好,zhǐhǎo
只要,zhǐyào
指,zhǐ
指出来,zhǐ chūlái
至少,zhìshǎo
质量,zhìliàng
重,zhòng
重点,zhòngdiǎn
重视,zhòngshì
视,shì
周围,zhōuwéi
主意,zhǔyi
祝贺,zhùhè
祝,zhù
著名,zhùmíng
名,míng
专门,zhuānmén
专业,zhuānyè
转,zhuǎn
赚,zhuàn
准确,zhǔnquè
准时,zhǔnshí
仔细,zǐxì
自然,zìrán
自信,zìxìn
总结,zǒngjié
租,zū
最好,zuìhǎo
尊重,zūnzhòng
左右,zuǒyòu
作家,zuòjiā
作用,zuòyòng
作者,zuòzhě
座,zuò
座位,zuòwèi
香蕉,xiāngjiāo
而且,érqiě
星星,xīngxīng
亮,liàng
说到,shuōdào
完成,wánchéng
变成,biànchéng
图书官,túshūguān
逛街,guàngjiē
街,jiē
日子,rìzi
一...就...,yī...jiù...
段,duàn
愿意,yuànyì
不愿意,bùyuànyì
注意,zhùyì
注意力,zhùyìlì
力,lì
运动员,yùndòngyuán
一生,yīshēng
身边,shēnbiān
不见了,bùjiànle
几乎,jīhū
想法,xiǎngfǎ
经过,jīngguò
成了,chéngle
面试,miànshì
面试者,miànshìzhě
什么样,shénmeyàng
起飞,qǐfēi
这样,zhèyàng
那样,nàyàng
之前,zhīqián
之后,zhīhòu
以前,yǐqián
以后,yǐhòu
银行,yínháng
着急,zháojí
急,jí
没想到,méixiǎngdào
手忙脚乱,shǒumángjiǎoluàn
谈天,tántiān
万事起头难,wànshìqǐtóunán
明书,míngshū
再...也/还是/都,zài... yě/háishì/dōu
办法,bànfǎ
责任心,zérènxīn
责任感,zérèngǎn
关系,guānxì
文件,wénjiàn
回,huí
错过,cuòguò
种,zhǒng
看上去,kànshàngqù
旧,jiù
再说,zàishuō
礼物,lǐwù
难吃,nánchī
喜爱,xǐài
买家,mǎijiā
卖家,màijiā
能够,nénggòu
鞋子,xiézi
声音,shēngyīn
大声,dàshēng
小声,xiǎoshēng
进门,jìnmén
法国,fàguó
会员,huìyuán
在我看来,zàiwǒkànlái
...以来,...yǐlái
...和...之间,...hé...zhījiān
之间,zhījiān
沟通,gōutōng
试衣间,shìyījiān
上班族,shàngbānzú
四周,sìzhōu
血,xiě/xuè
流血,liúxiě/liúxuè
解决,jiějué
老样子,lǎoyàngzi
没什么,méishénme
根据,gēnjù
远处,yuǎnchù
静坐,jìngzuò
静,jìng
向远处看,xiàngyuǎnchùkàn
精神,jīngshén
多么,duōme
算,suàn
...出问题,...chūwèntí
即...又/也/还,jí... yòu/yě/hái
宿舍,sùshè
强,qiáng
得到,dédào
校长,xiàozhǎng
女性,nǚxìng
男性,nánxìng
大多,dàduō
只要...就...,zhǐyào...jiù...
考进,kǎojìn
马路,mǎlù
长期,chángqí
短期,duǎnqí
遇上,yùshàng
遇见,yùjiàn
可不是,kěbùshì
大自然,dàzìrán
少了,shǎole
取得,qǔdé
有关,yǒuguān
向上,xiàngshàng
带来,dàilái
non-action-verb 下来,non-action-verb xiàlái
period-of-time 下来,period-of-time xiàlái
verb 都/也 + 不/没 verb,verb dōu/yě + bù/méi verb
verb + 法,verb + fǎ
做法,zuòfǎ
用心,yòngxīn
商家,shāngjiā
乱 + verb,luàn + verb
放假,fàngjià
随便 + verb,suíbiàn + verb
的一面,deyīmiàn
不怎么样,bùzěmeyàng
向,xiàng
想要,xiǎngyào
看重,kànzhòng
对 subject 来说,duì subject láishuō
在 subject 来说,zài subject láishuō
面对,miànduì
点亮,diǎnliàng
就算,jiùsuàn
就算...也/还/都...,jiùsuàn... yě/hái/dōu...
上 quantity-measure-word,shàng quantity-measure-word
电灯,diàndēng
阳光总在风雨后,yángguāng zǒng zài fēng yǔ hòu
室内,shìnèi
室外,shìwài
步行,bùxíng
走路,zǒulù
计划书,jìhuàshū
满头大汗,mǎn tóu dà hàn
满头是汗,mǎn tóu shì hàn
过 + adjective,guò + adjective
在我眼中,zài wǒ yǎn zhōng
眼睛,yǎnjīng
空儿,kònger
上有老 下有小,shàng yǒu lǎo xià yǒu xiǎo
人家,rénjiā
人家 + name,rénjiā + name
手拉手,shǒu lā shǒu
老板,lǎobǎn
老公,lǎogōng
A 跟 B 比, A gēn B bǐ
富有,fùyǒu
有钱,yǒuqián
富人,fùrén
有钱人,yǒuqiánrén
因为...而,yīnwèi...ér
为了...而,wèile...ér
...等等,...děngděng
走到头,zǒudàotóu
相识,xiāngshí
互相认识,hùxiāng rènshí
仅仅,jǐnjǐn
歌曲,gēqǔ
金钱,jīnqián
道路,dàolù
拿...来说,ná...láishuō
有效,yǒuxiào
词典,cídiǎn
字典,zìdiǎn
笔记本,bǐjìběn
笔,bǐ
本子,běnzi
打开,dǎkāi
non-action verb + 起来, non-action verb + qǐlái
书本,shūběn
说话没有内容,shuōhuà méiyǒu nèiróng
无限,wúxiàn
有限,yǒuxiàn
情感,qínggǎn
样,yàng
...的时候,...de shíhòu
...的同时,...de tóngshí
规定和经验是死的人是活的,guīdìng hé jīngyàn shì sǐ de rén shì huó de
课本,kèběn
难 + verb,nán + verb
好 + verb,hǎo + verb
难看,nánkàn
同样,tóngyàng
达到,dádào
事半功倍,shì bàn gōng bèi
事倍功半,shì bèi gōng bàn
在...之中,zài... zhīzhōng
明星,míngxīng
心烦,xīnfán
烦,fán
费用,fèiyòng
水费,shuǐfèi
电费,diànfèi
差,chà
起...的作用,qǐ... de zuòyòng
深厚,shēnhòu
服务台,fúwùtái
工作台,gōngzuòtái
当地,dāngdì
想不到,xiǎngbùdào
verb + 上, verb + shàng
学会,xuéhuì
袋子,dàizi
纸袋,zhǐdài
当作,dàngzuò
小朋友,xiǎopéngyǒu
渴,kě
常见,chángjiàn
做成,zuòchéng
一下子,yīxiàzi
verb + 个不停,verb + gè bù tíng
少见,shǎojiàn
一块儿,yīkuàier
主动,zhǔdòng
被动,bèidòng
瓶子,píngzi
箱子,xiāngzi
以...(去/来),yǐ...(qù/lái)
叉子,chāzi
以...为,yǐ...wèi
大量,dàliàng
自备,zìbèi
...什么的,...shénme de
饭盒,fànhé
抬起头,tái qǐ tóu
取名,qǔmíng
吉他,jítā
闹钟,nàozhōng
响,xiǎng
赶时间,gǎnshíjiān
赶不及,gǎnbují
赶得及,gǎndéjí
跳,tiào
情绪,qíngxù
替,tì
过 + adjective,guò + adjective
太过 + adjective,tàiguò + adjective
过多,guòduō
过大,guòdà
过累,guòlèi
积极性,jījíxìng
性,xìng
好动,hǎodòng
verb + 不住,verb + bùzhù
坐不住,zuò bùzhù
请客,qǐngkè
一定的,yīdìngde
person + 来 + to do something,person + lái + to do something
停车,tíngchē
急事,jíshì
订,dìng
电话号码,diànhuà hàomǎ
可 + thing to be emphasized,kě + thing to be emphasized
代表,dàibiǎo
大小,dàxiǎo
大小不同/不同大小,dàxiǎo bùtóng/bùtóng dàxiǎo
有礼貌,yǒulǐmào
没有礼貌,méiyǒulǐmào
如果/要是...的话,rúguǒ/yàoshi...de huà
如果/要是...的话...就/也,rúguǒ/yàoshi...de huà...jiù/yě
不好意思,bùhǎoyìsi
好意思,hǎoyìsi
外国,wàiguó
外地,wàidì
既...A...又...B,jì...A...yòu...B
挂衣服,guà yīfú
挂电话,guà diànhua
对...有自信,duì... yǒu zìxìn
挂在嘴边,guà zài zuǐ biān
天外有天 人外有人,tiān wài yǒu tiān rén wài yǒu rén
撞,zhuàng
情人,qíngrén
拿...来说,ná...láishuō
改天,gǎitiān
宝宝,bǎobǎo
...(这么)一 + verb,...(zhème)yī + verb
模特儿,mótèer
暑假,shǔjià
本,běn
本 + noun,běn + noun
本人,běn rén
本公司,běn gōngsī
处,chù
noun + 处,noun + chù
入口处,rùkǒu chù
出口处,chūkǒu chù
noun + 之一,noun + zhīyī
赶上,gǎnshàng
儿童节,értóng jié
身子,shēnzi
全,quán
作为,zuòwéi
把...作为,bǎ...zuòwéi
水分,shuǐfèn
竞争能力,jìngzhēng nénglì
有/没有竞争(能)力,yǒu/méiyǒu jìngzhēng (néng)lì
市场,shìchǎng
木,mù
美人鱼,měirényú
书桌,shūzhuō
梦到/梦见,mèng dào/mèng jiàn
只不过,zhǐ bùguò
一个个,yīgègè
报道,bàodào
湿,shī
老家,lǎojiā
墙,qiáng
吵,chǎo
算了,suànle
新手,xīnshǒu
通,tōng
通往,tōngwǎng
