Hanzi,Pinyin
吨,dūn
蹲,dūn
顿,dùn
多亏,duōkuī
多余,duōyú
朵,duǒ
躲藏,duǒcáng
恶劣,èliè
耳环,ěrhuán
发表,fābiǎo
发愁,fāchóu
发达,fādá
发抖,fādǒu
发挥,fāhuī
发明,fāmíng
发票,fāpiào
发言,fāyán
罚款,fákuǎn
法院,fǎyuàn
翻,fān
繁荣,fánróng
反而,fǎnér
反复,fǎnfù
反应,fǎnyìng
反映,fǎnyìng
反正,fǎnzhèng
范围,fànwéi
方,fāng
方案,fāngàn
方式,fāngshì
妨碍,fángài
仿佛,fǎngfú
非,fēi
肥皂,féizào
废话,fèihuà
分别,fēnbié
分布,fēnbù
分配,fēnpèi
分手,fēnshǒu
分析,fēnxī
纷纷,fēnfēn
奋斗,fèndòu
疯狂,fēngkuáng
风格,fēnggé
风景,fēngjǐng
风俗,fēngsú
风险,fēngxiǎn
讽刺,fěngcì
否定,fǒudìng
否认,fǒurèn
幅,fú
扶,fú
服装,fúzhuāng
辅导,fǔdǎo
复制,fùzhì
妇女,fùnv3
改革,gǎigé
改进,gǎijìn
改善,gǎishàn
改正,gǎizhèng
概括,gàikuò
概念,gàiniàn
盖,gài
干脆,gāncuì
干燥,gānzào
感激,gǎnjī
感受,gǎnshòu
感想,gǎnxiǎng
赶紧,gǎnjǐn
赶快,gǎnkuài
干活儿,gànhuór
钢铁,gāngtiě
高档,gāodàng
高级,gāojí
搞,gǎo
告别,gàobié
格外,géwài
隔壁,gébì
个别,gèbié
个人,gèrén
个性,gèxìng
各自,gèzì
根,gēn
根本,gēnběn
公布,gōngbù
公开,gōngkāi
公平,gōngpíng
公寓,gōngyù
公元,gōngyuán
公主,gōngzhǔ
功能,gōngnéng
工厂,gōngchǎng
工程,gōngchéng
工程师,gōngchéngshī
工具,gōngjù
工人,gōngrén
工业,gōngyè
恭喜,gōngxǐ
贡献,gòngxiàn
沟通,gōutōng
构成,gòuchéng
姑姑,gūgu
姑娘,gūniang
古代,gǔdài
古典,gǔdiǎn
股票,gǔpiào
骨头,gǔtou
鼓舞,gǔwǔ
鼓掌,gǔzhǎng
固定,gùdìng
挂号,guàhào
乖,guāi
拐弯,guǎiwān
怪不得,guàibude
关闭,guānbì
官,guān
观察,guānchá
观点,guāndiǎn
观念,guānniàn
管子,guǎnzǐ
冠军,guànjūn
光滑,guānghua
光临,guānglín
光明,guāngmíng
光盘,guāngpán
广场,guǎngchǎng
广大,guǎngdà
广泛,guǎngfàn
归纳,guīnà
规矩,guīju
规律,guīlǜ
规模,guīmó
规则,guīzé
柜台,guìtái
滚,gǔn
锅,guō
国庆节,guóqìngjié
国王,guówáng
果然,guǒrán
果实,guǒshí
过分,guòfèn
过敏,guòmǐn
过期,guòqī
哈,hā
海关,hǎiguān
海鲜,hǎixiān
喊,hǎn
行业,hángyè
豪华,háohuá
好客,hàokè
好奇,hàoqí
何必,hébì
何况,hékuàng
合法,héfǎ
合理,hélǐ
合同,hétong
合影,héyǐng
合作,hézuò
和平,hépíng
核心,héxīn
恨,hèn
猴子,hóuzi
后背,hòubèi
后果,hòuguǒ
呼吸,hūxī
忽然,hūrán
忽视,hūshì
壶,hú
糊涂,hútu
胡说,húshuō
胡同,hútòng
蝴蝶,húdié
花生,huāshēng
华裔,huáyì
滑,huá
划,huà
化学,huàxué
话题,huàtí
怀念,huáiniàn
怀孕,huáiyùn
缓解,huǎnjiě
幻想,huànxiǎng
慌张,huāngzhāng
黄金,huángjīn
恢复,huīfù
挥,huī
灰,huī
灰尘,huīchén
灰心,huīxīn
汇率,huìlv4
婚礼,hūnlǐ
婚姻,hūnyīn
活跃,huóyuè
伙伴,huǒbàn
火柴,huǒchái
或许,huòxǔ
基本,jīběn
机器,jīqì
激烈,jīliè
肌肉,jīròu
及格,jígé
急忙,jímáng
急诊,jízhěn
极其,jíqí
集合,jíhé
集体,jítǐ
集中,jízhōng
寂寞,jìmò
系领带,jìlǐngdài
纪录,jìlù
纪律,jìlǜ
纪念,jìniàn
计算,jìsuàn
记录,jìlù
记忆,jìyì
嘉宾,jiābīn
夹子,jiāzi
家庭,jiātíng
家务,jiāwù
家乡,jiāxiāng
假如,jiǎrú
假设,jiǎshè
假装,jiǎzhuāng
甲,jiǎ
价值,jiàzhí
嫁,jià
驾驶,jiàshǐ
兼职,jiānzhí
坚决,jiānjué
坚强,jiānqiáng
肩膀,jiānbǎng
艰巨,jiānjù
艰苦,jiānkǔ
剪刀,jiǎndāo
捡,jiǎn
简历,jiǎnlì
简直,jiǎnzhí
健身,jiànshēn
建立,jiànlì
建设,jiànshè
建筑,jiànzhù
键盘,jiànpán
讲究,jiǎngjiu
讲座,jiǎngzuò
酱油,jiàngyóu
交换,jiāohuàn
交际,jiāojì
交往,jiāowǎng
浇,jiāo
胶水,jiāoshuǐ
狡猾,jiǎohuá
角度,jiǎodù
教材,jiàocái
教练,jiàoliàn
教训,jiàoxun
接触,jiēchù
接待,jiēdài
接近,jiējìn
结实,jiēshi
阶段,jiēduàn
结构,jiégòu
结合,jiéhé
结论,jiélùn
结账,jiézhàng
节省,jiéshěng
借口,jièkǒu
届,jiè
戒,jiè
戒指,jièzhi
金属,jīnshǔ
尽快,jǐnkuài
紧急,jǐnjí
谨慎,jǐnshèn
尽力,jìnlì
尽量,jìnliàng
尽,jìn
近代,jìndài
进步,jìnbù
进口,jìnkǒu
精力,jīnglì
精神,jīngshén
经典,jīngdiǎn
经商,jīngshāng
经营,jīngyíng
酒吧,jiǔbā
救,jiù
救护车,jiùhùchē
舅舅,jiùjiu
居然,jūrán
桔子,júzi
俱乐部,jùlèbù
具备,jùbèi
具体,jùtǐ
巨大,jùdà
据说,jùshuō
捐,juān
决赛,juésài
决心,juéxīn
绝对,juéduì
角色,juésè
军事,jūnshì
均匀,jūnyún
卡车,kǎchē
开发,kāifā
开放,kāifàng
开幕式,kāimùshì
开水,kāishuǐ
砍,kǎn
看不起,kànbuqǐ
看望,kànwàng
靠,kào
颗,kē
可见,kějiàn
可靠,kěkào
可怕,kěpà
克,kè
克服,kèfú
刻苦,kèkǔ
客观,kèguān
课程,kèchéng
空间,kōngjiān
控制,kòngzhì
空闲,kòngxián
口味,kǒuwèi
夸,kuā
夸张,kuāzhāng
会计,kuàijì
宽,kuān
昆虫,kūnchóng
扩大,kuòdà
辣椒,làjiāo
拦,lán
烂,làn
朗读,lǎngdú
劳动,láodòng
劳驾,láojià
姥姥,lǎolao
老百姓,lǎobǎixìng
老板,lǎobǎn
老婆,lǎopó
老实,lǎoshi
老鼠,lǎoshǔ
乐观,lèguān
雷,léi
类型,lèixíng
冷淡,lěngdàn
厘米,límǐ
梨,lí
离婚,líhūn
理论,lǐlùn
理由,lǐyóu
利润,lìrùn
利息,lìxī
利益,lìyì
利用,lìyòng
力量,lìliang
立即,lìjí
立刻,lìkè
联合,liánhé
连忙,liánmáng
连续,liánxù
恋爱,liànài
粮食,liángshi
良好,liánghǎo
亮,liàng
了不起,liǎobuqǐ
列车,lièchē
临时,línshí
灵活,línghuó
铃,líng
零件,língjiàn
零食,língshí
领导,lǐngdǎo
领域,lǐngyù
流传,liúchuán
流泪,liúlèi
浏览,liúlǎn
龙,lóng
漏,lòu
录取,lùqǔ
录音,lùyīn
陆地,lùdì
陆续,lùxù
轮流,lúnliú
论文,lùnwén
逻辑,luóji
落后,luòhòu
骂,mà
麦克风,màikèfēng
馒头,mántou
满足,mǎnzú
毛病,máobìng
矛盾,máodùn
冒险,màoxiǎn
贸易,màoyì
媒体,méitǐ
煤炭,méitàn
眉毛,méimao
美术,měishù
魅力,mèilì
梦想,mèngxiǎng
密切,mìqiè
秘密,mìmì
秘书,mìshū
蜜蜂,mìfēng
面对,miànduì
面积,miànjī
面临,miànlín
描写,miáoxiě
苗条,miáotiáo
敏感,mǐngǎn
名牌,míngpái
名片,míngpiàn
名胜古迹,míngshènggǔjì
明确,míngquè
明显,míngxiǎn
明星,míngxīng
命令,mìnglìng
命运,mìngyùn
摸,mō
摩托车,mótuōchē
模仿,mófǎng
模糊,móhu
模特,mótè
陌生,mòshēng
某,mǒu
木头,mùtou
目标,mùbiāo
目录,mùlù
目前,mùqián
哪怕,nǎpà
难怪,nánguài
难免,nánmiǎn
脑袋,nǎodài
内部,nèibù
内科,nèikē
嫩,nèn
能干,nénggàn
能源,néngyuán
嗯,ńg
年代,niándài
年纪,niánjì
念,niàn
宁可,nìngkě
牛仔裤,niúzǎikù
农村,nóngcūn
农民,nóngmín
农业,nóngyè
浓,nóng
女士,nv3shì
欧洲,ōuzhōu
偶然,ǒurán
拍,pāi
派,pài
盼望,pànwàng
培训,péixùn
培养,péiyǎng
赔偿,péicháng
佩服,pèifú
配合,pèihé
盆,pén
碰,pèng
批,pī
批准,pīzhǔn
披,pī
疲劳,píláo
匹,pǐ
片,piàn
片面,piànmiàn
飘,piāo
拼音,pīnyīn
频道,píndào
凭,píng
平均,píngjūn
平,píng
平安,píng'ān
平常,píngcháng
平等,píngděng
平方,píngfāng
平方米,píngfāng mǐ
平衡,pínghéng
平静,píngjìng
评价,píngjià
破产,pòchǎn
破坏,pòhuài
迫切,pòqiè
期待,qīdài
期间,qījiān
其余,qíyú
奇迹,qíjì
企业,qǐyè
启发,qǐfā
气氛,qìfēn
汽油,qìyóu
签,qiān
谦虚,qiānxū
前途,qiántú
浅,qiǎn
欠,qiàn
枪,qiāng
墙,qiáng
强调,qiángdiào
强烈,qiángliè
抢,qiǎng
悄悄,qiāoqiāo
瞧,qiáo
巧妙,qiǎomiào
切,qiē
亲爱,qīnài
亲切,qīnqiè
亲自,qīnzì
勤奋,qínfèn
清淡,qīngdàn
轻视,qīngshì
轻易,qīngyì
青,qīng
青春,qīngchūn
青少年,qīngshàonián
情景,qíngjǐng
情绪,qíngxù
请求,qǐngqiú
庆祝,qìngzhù
球迷,qiúmí
趋势,qūshì
取消,qǔxiāo
娶,qǔ
去世,qùshì
圈,quān
全面,quánmiàn
权利,quánlì
权力,quánlì
劝,quàn
缺乏,quēfá
确定,quèdìng
确认,quèrèn
群,qún
燃烧,ránshāo
绕,rào
热爱,rèài
热烈,rèliè
热心,rèxīn
人才,réncái
人口,rénkǒu
人类,rénlèi
人民币,rénmínbì
人生,rénshēng
人事,rénshì
人物,rénwù
人员,rényuán
忍不住,rěnbuzhù
日常,rìcháng
日程,rìchéng
日历,rìlì
日期,rìqī
日用品,rìyòngpǐn
日子,rìzi
如何,rúhé
如今,rújīn
软,ruǎn
软件,ruǎnjiàn
弱,ruò
洒,sǎ
嗓子,sǎngzi
色彩,sècǎi
杀,shā
沙漠,shāmò
沙滩,shātān
傻,shǎ
晒,shài
删除,shānchú
闪电,shǎndiàn
善良,shànliáng
善于,shànyú
扇子,shànzi
伤害,shānghài
商品,shāngpǐn
商务,shāngwù
商业,shāngyè
上当,shàngdàng
蛇,shé
舍不得,shěbude
射击,shèjī
摄影,shèyǐng
设备,shèbèi
设计,shèjì
设施,shèshī
伸,shēn
深刻,shēnkè
身材,shēncái
身份,shēnfèn
神话,shénhuà
神秘,shénmì
升,shēng
声调,shēngdiào
生产,shēngchǎn
生产者,shēngchǎn zhě
生动,shēngdòng
生长,shēngzhǎng
绳子,shéngzi
省略,shěnglüè
胜利,shènglì
失眠,shīmián
失去,shīqù
失业,shīyè
湿润,shīrùn
狮子,shīzi
诗,shī
实话,shíhuà
实践,shíjiàn
实习,shíxí
实现,shíxiàn
实验,shíyàn
实用,shíyòng
时差,shíchā
时代,shídài
时刻,shíkè
时髦,shímáo
时期,shíqī
时尚,shíshàng
石头,shítou
食物,shíwù
使劲儿,shǐjìnr
始终,shǐzhōng
事实,shìshí
事物,shìwù
事先,shìxiān
似的,shìde
士兵,shìbīng
市场,shìchǎng
试卷,shìjuàn
收获,shōuhuò
收据,shōujù
手工,shǒugōng
手术,shǒushù
手套,shǒutào
手续,shǒuxù
手指,shǒuzhǐ
首,shǒu
受伤,shòushāng
寿命,shòumìng
书架,shūjià
梳子,shūzi
舒适,shūshì
蔬菜,shūcài
蔬果,shū guǒ
蔬,shū
输入,shūrù
熟练,shúliàn
属于,shǔyú
数,shǔ
鼠标,shǔbiāo
数据,shùjù
数码,shùmǎ
摔倒,shuāidǎo
甩,shuǎi
双方,shuāngfāng
税,shuì
说不定,shuōbudìng
说服,shuōfú
丝绸,sīchóu
丝毫,sīháo
思考,sīkǎo
思想,sīxiǎng
撕,sī
私人,sīrén
似乎,sìhū
搜索,sōusuǒ
宿舍,sùshè
随身,suíshēn
随时,suíshí
随手,suíshǒu
碎,suì
损失,sǔnshī
缩短,suōduǎn
所,suǒ
锁,suǒ
台阶,táijiē
太极拳,tàijíquán
太太,tàitai
谈判,tánpàn
坦率,tǎnshuài
烫,tàng
桃,táo
淘气,táoqì
逃,táo
逃避,táobì
讨价还价,tǎojiàhuánjià
套,tào
特色,tèsè
特殊,tèshū
特征,tèzhēng
疼爱,téngài
提倡,tíchàng
提纲,tígāng
提问,tíwèn
题目,tímù
体会,tǐhuì
体贴,tǐtiē
体现,tǐxiàn
体验,tǐyàn
天空,tiānkōng
天真,tiānzhēn
调皮,tiáopí
调整,tiáozhěng
挑战,tiǎozhàn
通常,tōngcháng
统一,tǒngyī
痛苦,tòngkǔ
痛快,tòngkuài
偷,tōu
投入,tóurù
投资,tóuzī
透明,tòumíng
突出,tūchū
土地,tǔdì
土豆,tǔdòu
兔子,tùzi
吐,tù
团,tuán
推辞,tuīcí
推广,tuīguǎng
推荐,tuījiàn
退,tuì
退步,tuìbù
退休,tuìxiū
歪,wāi
外公,wàigōng
外交,wàijiāo
完美,wánměi
完善,wánshàn
完整,wánzhěng
玩具,wánjù
万一,wànyī
王子,wángzǐ
往返,wǎngfǎn
网络,wǎngluò
危害,wēihài
威胁,wēixié
微笑,wēixiào
唯一,wéiyī
围巾,wéijīn
围绕,wéirào
维修,wéixiū
违反,wéifǎn
伟大,wěidà
委屈,wěiqū
尾巴,wěiba
位于,wèiyú
位置,wèizhi
未必,wèibì
未来,wèilái
胃,wèi
胃口,wèikǒu
温暖,wēnnuǎn
温柔,wēnróu
文件,wénjiàn
文具,wénjù
文明,wénmíng
文学,wénxué
文字,wénzì
闻,wén
吻,wěn
稳定,wěndìng
问候,wènhòu
卧室,wòshì
握手,wòshǒu
屋子,wūzi
无奈,wúnài
无数,wúshù
无所谓,wúsuǒwèi
武术,wǔshù
勿,wù
物理,wùlǐ
物质,wùzhì
雾,wù
吸取,xīqǔ
吸收,xīshōu
戏剧,xìjù
系,xì
系统,xìtǒng
细节,xìjié
瞎,xiā
下载,xiàzǎi
吓,xià
夏令营,xiàlìngyíng
鲜艳,xiānyàn
显得,xiǎnde
显然,xiǎnrán
显示,xiǎnshì
县,xiàn
现代,xiàndài
现实,xiànshí
现象,xiànxiàng
限制,xiànzhì
相处,xiāngchǔ
相当,xiāngdāng
相对,xiāngduì
相关,xiāngguān
相似,xiāngsì
香肠,xiāngcháng
享受,xiǎngshòu
想念,xiǎngniàn
想象,xiǎngxiàng
象棋,xiàngqí
象征,xiàngzhēng
项,xiàng
项链,xiàngliàn
项目,xiàngmù
消费,xiāofèi
消化,xiāohuà
消极,xiāojí
消失,xiāoshī
销售,xiāoshòu
小麦,xiǎomài
小气,xiǎoqi
孝顺,xiàoshun
效率,xiàolu
效率,lu
歇,xiē
斜,xié
写作,xiězuò
心理,xīnlǐ
心脏,xīnzàng
欣赏,xīnshǎng
信号,xìnhào
信任,xìnrèn
形成,xíngchéng
形容,xíngróng
形势,xíngshì
形式,xíngshì
形象,xíngxiàng
形状,xíngzhuàng
行动,xíngdòng
行人,xíngrén
行为,xíngwéi
幸亏,xìngkuī
幸运,xìngyùn
性质,xìngzhì
兄弟,xiōngdì
胸,xiōng
休闲,xiūxián
修改,xiūgǎi
虚心,xūxīn
叙述,xùshù
宣布,xuānbù
宣传,xuānchuán
学历,xuélì
学术,xuéshù
学问,xuéwèn
血,xuè
寻找,xúnzhǎo
询问,xúnwèn
训练,xùnliàn
迅速,xùnsù
押金,yājīn
牙齿,yáchǐ
严肃,yánsù
延长,yáncháng
演讲,yǎnjiǎng
宴会,yànhuì
阳台,yángtái
痒,yǎng
样式,yàngshì
腰,yāo
摇,yáo
咬,yǎo
要不,yàobù
业务,yèwù
业余,yèyú
夜,yè
依然,yīrán
一辈子,yíbèizi
一旦,yídàn
一律,yílǜ
一再,yízài
一致,yízhì
疑问,yíwèn
移动,yídòng
移民,yímín
遗憾,yíhàn
乙,yǐ
以及,yǐjí
以来,yǐlái
义务,yìwù
亿,yì
意外,yìwài
意义,yìyì
议论,yìlùn
因而,yīnér
因素,yīnsù
银,yín
印刷,yìnshuā
英俊,yīngjùn
英雄,yīngxióng
营养,yíngyǎng
营业,yíngyè
迎接,yíngjiē
影子,yǐngzi
应付,yìngfu
应用,yìngyòng
硬,yìng
硬件,yìngjiàn
拥抱,yōngbào
拥挤,yōngjǐ
勇气,yǒngqì
用功,yònggōng
用途,yòngtú
优惠,yōuhuì
优美,yōuměi
优势,yōushì
悠久,yōujiǔ
油炸,yóuzhá
游览,yóulǎn
犹豫,yóuyù
有利,yǒulì
幼儿园,yòuéryuán
娱乐,yúlè
与其,yǔqí
语气,yǔqì
玉米,yùmǐ
预报,yùbào
预订,yùdìng
预防,yùfáng
元旦,yuándàn
原料,yuánliào
原则,yuánzé
员工,yuángōng
圆,yuán
愿望,yuànwàng
乐器,yuèqì
晕,yūn
运气,yùnqi
运输,yùnshū
运用,yùnyòng
灾害,zāihài
再三,zàisān
在乎,zàihu
在于,zàiyú
赞成,zànchéng
赞美,zànměi
糟糕,zāogāo
造成,zàochéng
则,zé
责备,zébèi
摘,zhāi
窄,zhǎi
粘贴,zhāntiē
展开,zhǎnkāi
展览,zhǎnlǎn
占,zhàn
战争,zhànzhēng
掌握,zhǎngwò
涨,zhǎng
长辈,zhǎngbèi
账户,zhànghù
招待,zhāodài
着火,zháohuǒ
着凉,zháoliáng
召开,zhàokāi
照常,zhàocháng
哲学,zhéxué
珍惜,zhēnxī
真实,zhēnshí
针对,zhēnduì
诊断,zhěnduàn
振动,zhèndòng
阵,zhèn
争论,zhēnglùn
争取,zhēngqǔ
征求,zhēngqiú
挣,zhēng
睁,zhēng
整个,zhěnggè
整齐,zhěngqí
整体,zhěngtǐ
政府,zhèngfǔ
政治,zhèngzhì
正,zhèng
证件,zhèngjiàn
证据,zhèngjù
支,zhī
支票,zhīpiào
执照,zhízhào
直,zhí
指导,zhǐdǎo
指挥,zhǐhuī
制定,zhìdìng
制度,zhìdù
制造,zhìzào
制作,zhìzuò
志愿者,zhìyuànzhě
智慧,zhìhuì
治疗,zhìliáo
秩序,zhìxù
至今,zhìjīn
至于,zhìyú
中介,zhōngjiè
中心,zhōngxīn
中旬,zhōngxún
种类,zhǒnglèi
重大,zhòngdà
重量,zhòngliàng
周到,zhōudao
猪,zhū
竹子,zhúzi
逐步,zhúbù
逐渐,zhújiàn
主持,zhǔchí
主动,zhǔdòng
主观,zhǔguān
主人,zhǔrén
主任,zhǔrèn
主题,zhǔtí
主席,zhǔxí
主张,zhǔzhāng
煮,zhǔ
注册,zhùcè
祝福,zhùfú
抓,zhuā
抓紧,zhuājǐn
专家,zhuānjiā
专心,zhuānxīn
转变,zhuǎnbiàn
转告,zhuǎngào
装,zhuāng
装饰,zhuāngshì
装修,zhuāngxiū
撞,zhuàng
状况,zhuàngkuàng
状态,zhuàngtài
追,zhuī
追求,zhuīqiú
咨询,zīxún
姿势,zīshì
资格,zīgé
资金,zījīn
资料,zīliào
资源,zīyuán
紫,zǐ
字母,zìmǔ
字幕,zìmù
自从,zìcóng
自动,zìdòng
自豪,zìháo
自觉,zìjué
自私,zìsī
自由,zìyóu
自愿,zìyuàn
综合,zōnghé
总裁,zǒngcái
总共,zǒnggòng
总理,zǒnglǐ
总算,zǒngsuàn
总统,zǒngtǒng
总之,zǒngzhī
组,zǔ
组成,zǔchéng
组合,zǔhé
组织,zǔzhī
阻止,zǔzhǐ
最初,zuìchū
醉,zuì
尊敬,zūnjìng
遵守,zūnshǒu
作品,zuòpǐn
作为,zuòwéi
作文,zuòwén
圆周,yuánzhōu
周年,zhōunián
周围,zhōuwéi
大夫,dàifu
健身房,jiànshēnfáng
术,shù
偶尔,ǒuěr
诚实,chéngshí
声明,shēngmíng
道歉,dàoqiàn
态度,tàidu
学术论文,zuéshù lùnwén
毕业论文,bìyè lùnwén
发表文章,fābiǎo wénzhāng
发表声明,fābiǎo shēngmíng
词语,cíyǔ
账,zhàng
情节,qíngjié
师傅,shīfu
接受,jiēshòu
提醒,tíxǐng
圣诞,shèngdàn
圣诞假期,shèngdàn jià qī
饮水机,yǐn shuǐ jī
坚持,jiānchí
训练班,xùnliàn bān
到底,dàodǐ
坚持到底,jiānchí dàodǐ
懈,xiè
坚持不懈,jiānchí bù xiè
早已,zǎoyǐ
放弃,fàngqì
地址,dìzhǐ
答谢宴会,dáxiè yànhuì
宴请,yànqǐng
加强,jiāqiáng
设宴招待,shè yàn zhāodài
招待客人,zhāodài kèrén
招待所,zhāodài suǒ
记者招待会,jìzhě zhāodài huì
记者,jìzhě
愉快,yúkuài
结束,jiéshù
祝,zhù
商业区,shāngyè qū
区,qū
判断,pànduàn
举行,jǔxíng
举办,jǔbàn
举行谈判,jǔxíng tánpàn
送行,sòngxíng
老/老是 + doing something,lǎo/lǎoshì + doing something
埋怨,mányuàn
劝告,quàngào
建议,jiànyì
如此,rúcǐ
惦记,diànjì
厌恶,yànwù
恶意,eyì
厌恶意,yànwùyì
副,fù
含,hán
出差,chūchāi
差,chāi
我们家那位,wǒmen jiā nà wèi
我们家那口子,wǒmen jiā nà kǒuzi
成度,chéngdù
行政,xíngzhèng
政,zhèng
基,jī
基础,jīchǔ
打好基础,dǎ hǎo jīchǔ
层,céng
基层单位,jīcéng dānwèi
懒,lǎn
懒得,lǎndé
不愿意,bùyuànyì
愿意,yuànyì
厌烦,yànfán
发懒,fā lǎn
晚点,wǎndiǎn (late/behind schedule)
早点,zǎodiǎn (early/breakfast)
早点儿,zǎodiǎner
提前,tíqián
提早,tízǎo
到达,dàodá (arrive)
达到,dádào (achieve)
降落,jiàngluò
降,jiàng
落,luò
降落伞,jiàngluò sǎn
降雨,jiàngyǔ
降价,jiàngjià
许多,xǔduō
品,pǐn
价格/价钱,jiàgé/jiàqián
名落孙山,míng luò sūnshān
甘,gān
不甘落后,bù gān luòhòu
落后地区,luòhòu dìqū
井,jǐng
石,shí
落井下石,luò jǐng xià shí
落水狗,luò shuǐ gǒu
失败,shībài
落汤鸡,luòtāngjī
汤,tāng
晚一点,wǎn yīdiǎn (in a short moment)
一点晚,yīdiǎn wǎn (a little late)
订,dìng
条约,tiáoyuē
合,hé
订条约,dìng tiáoyuē
订合同,dìng hétong
订报纸,dìng bàozhǐ
酒席,jiǔxí
订一桌酒席,dìng yī zhuō jiǔxí
订票,dìng piào
订单,dìngdān
订购,dìnggòu
户,hù
订户,dìnghù
订婚,dìnghūn
定,dìng
计划,jìhuà
定计划,dìng jìhuà
定时间,sìng shíjiān
神,shén
心神不定,xīnshén bùdìng
定案,dìng'àn
定价,dìng jià
金钱,jīnqián
定金,dìngjīn
居,jū
定居,dìngjū
定居点,dìngjūdiǎn
定期,dìngqí
炸弹,zhàdàn
